"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"003078-3",0,13.95,0,0,60.89,74.84
"003079-1",0,161.73,402.39,0,143.93,708.05
"003080-5",0,0,0,0,45.66,45.66
"003082-1",0,0,0,0,6.75,6.75
"003083-0",0,1142.99,1035.48,0,60.99,2239.46
"003084-8",0,0,0,0,13.1,13.1
"003085-6",180.24,11.88,0,0,36.64,228.76
"003086-4",99.8,44.55,204.9,92.52,115.92,557.69
"003087-2",0,0,0,0,0,0
"003088-0",137.82,12.3,0,0,63.62,213.74
"003088-8",0,0,0,0,0,0
"003089-9",0,0,0,0,61.18,61.18
"003090-2",0,87.89,0,0,210.11,298
"003091-0",0,0,0,0,92.31,92.31
"003092-9",0,0,0,0,152.32,152.32
"003093-7",0,0,0,0,0,0
"003094-5",0,0,0,0,17.72,17.72
"003095-3",0,0,415.72,0,25.67,441.39
"003096-1",33.55,150.58,328.59,0,311.27,823.99
"003097-0",0,0,0,0,55.93,55.93
"003098-8",0,71.73,82.57,0,200.46,354.76
"003103-8",0,0,0,0,0,0
"003104-6",0,0,0,0,81.3,81.3
"003105-4",0,43.73,0,0,96.01,139.74
"003106-2",234.46,0,78.48,0,237.52,550.46
"003107-0",323.74,8.51,214.64,0,132.83,679.72
"003108-9",0,100.22,247.48,0,104.58,452.28
"003109-7",0,42,0,0,103.26,145.26
"003110-0",386.76,66.65,374.22,0,242.18,1069.81
"003111-9",0,0,675.63,0,87.65,763.28
"003112-7",270.04,50.61,234.49,0,550.47,1105.61
"003114-3",695.24,152.46,0,0,49.33,897.03
"003115-1",244.55,430.4,856.19,0,119.96,1651.1
"003116-0",1571.16,65.47,679.13,0,150.36,2466.12
"003117-8",1314.32,1097.6,1666.55,107.95,307.51,4493.93
"003119-4",0,0,0,0,0,0
"003120-8",0,0,0,0,0,0
"003123-2",0,0,0,0,162.18,162.18
"003124-0",0,0,0,0,2.49,2.49
"003126-7",0,0,0,0,0,0
"003127-5",0,0,0,0,0,0
"003128-3",0,0,0,0,18.15,18.15
"003129-1",0,0,0,0,26.58,26.58
"003132-1",0,59.04,0,0,49.14,108.18
"003134-8",0,206.51,0,0,68.98,275.49
"003135-6",0,0,0,0,16.55,16.55
"003137-2",0,0,0,0,0,0
"003138-0",0,0,0,0,81.98,81.98
"003139-9",242.51,461.77,536,34.6,494.74,1769.62
"003140-2",186.13,108.5,268.73,0,179.69,743.05
"003141-0",0,0,0,0,29.47,29.47
"003142-9",0,271.22,2380.15,0,48.8,2700.17
"003143-7",26.62,41.76,167.61,0,219.98,455.97
"003144-5",0,0,314.19,0,81.45,395.64
"003145-3",192.63,294.26,668.46,11.48,951.33,2118.16
"003146-1",0,0,0,0,109.71,109.71
"003147-0",0,55.46,0,0,615.97,671.43
"003148-8",0,114.5,0,0,220.09,334.59
"003149-6",0,0,0,0,39.66,39.66
"003150-0",0,0,0,0,96.66,96.66
"003154-2",0,0,0,0,0,0
"003159-3",0,0,0,0,0,0
"003160-7",0,0,0,0,0,0
"003161-5",44.52,48.18,312.36,29.54,485.48,920.08
"003162-3",288.84,31.54,0,0,21.7,342.08
"003163-1",186.88,0,0,0,2.71,189.59
"003164-0",0,0,0,0,0,0
"003165-8",0,0,0,0,7.13,7.13
"003166-6",0,0,0,0,0,0
"003167-4",0,105.43,0,0,392.06,497.49
"003168-2",0,59.07,0,0,49.51,108.58
"003169-0",0,129.07,0,0,29.9,158.97
"003170-4",0,0,0,0,0,0
"003171-2",0,0,0,0,130.91,130.91
"003172-0",0,811.13,944.47,0,33.13,1788.73
"003173-9",0,0,0,0,0,0
"003174-7",0,0,0,0,0,0
"003177-1",0,156.37,0,0,0,156.37
"003179-8",0,1048.55,0,0,59.68,1108.23
"003184-4",0,0,0,0,0,0
"003185-2",487.38,0,0,0,0,487.38
"003187-9",0,0,0,0,0,0
"003188-7",0,0,0,0,204.41,204.41
"003189-5",0,0,0,0,0,0
"003190-9",0,0,0,0,584.68,584.68
"003191-7",0,0,0,0,0,0
"003192-5",91.68,95.27,146.11,0,337.49,670.55
"003193-3",0,43.67,70.44,0,377.39,491.5
"003194-1",0,0,0,0,38.84,38.84
"003195-0",0,0,0,0,102.82,102.82
"003197-6",0,0,0,0,123.58,123.58
"003198-4",729.81,671.08,985.27,0,93.65,2479.81
"003199-2",0,0,0,0,2.43,2.43
"003200-0",0,0,0,0,507.57,507.57
"003201-8",369.67,0,0,0,77.17,446.84
"003202-6",0,0,0,0,0,0
"003203-4",0,0,0,0,47.19,47.19
"003204-2",274.86,0,248.86,0,88.99,612.71
"003205-0",0,46.02,0,0,43.77,89.79
"003206-9",1305.06,662.09,770.39,1.4,316.96,3055.9
"003207-7",0,0,153.24,0,111.66,264.9
"003208-5",0,34.18,0,0,295.09,329.27
"003209-3",0,0,1008.35,0,35.94,1044.29
"003210-7",0,146.59,453.55,0,114.92,715.06
"003217-4",0,0,0,0,0,0
"003219-0",0,0,0,0,31.9,31.9
"003220-4",0,0,0,0,223.28,223.28
"003221-2",0,0,0,0,48.53,48.53
"003222-0",0,0,0,0,93.78,93.78
"003223-9",488.85,0,0,0,18.73,507.58
"003224-7",170.2,104.87,782.38,46.3,356.22,1459.97
"003225-5",404.25,620.11,972.86,30.63,504.5,2532.35
"003226-3",207.15,212.58,424.82,16.88,401.62,1263.05
"003227-1",293.75,294.82,456.11,80.11,281.44,1406.23
"003228-0",550.15,748.95,1627.72,15.67,714,3656.49
"003229-8",37.78,47.69,309.87,0,204.99,600.33
"003230-1",0,0,0,0,0,0
"003231-0",0,0,0,0,115.02,115.02
"003232-2",0,0,0,0,0,0
"003232-8",11.26,62.6,108.44,53.36,66.74,302.4
"003233-6",0,0,310.36,0,122.45,432.81
"003234-4",609.83,430.88,565.93,0,62.55,1669.19
"003235-2",350.03,12.5,222.12,123.41,95.2,803.26
"003236-0",0,0,0,0,0,0
