"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"509068-7",0,0,0,0,0,0
"509069-5",0,69.94,479.59,0,63.3,612.83
"509070-9",0,0,0,0,12.23,12.23
"509071-7",0,336.55,0,0,7.62,344.17
"509072-5",0,0,0,0,35.44,35.44
"509073-3",0,111.61,63,0,168.74,343.35
"509074-1",409.69,0,821.37,0,275.29,1506.35
"509075-0",1822.07,0,0,0,66.08,1888.15
"509076-8",0,0,0,0,292.08,292.08
"509077-6",0,0,0,0,0,0
"509078-4",0,0,0,0,0,0
"509079-2",0,0,1929.05,0,41.65,1970.7
"509080-6",0,0,0,0,27.39,27.39
"509081-4",540.28,325.79,316.44,0,75.83,1258.34
"509082-2",227.51,205.85,649.35,0,52.1,1134.81
"509083-0",1973.1,1520.73,3667.58,304.3,202.14,7667.85
"509084-9",1733.86,1287.32,3197.04,188.37,542.46,6949.05
"509085-7",2099.51,776.81,0,0,5.4,2881.72
"509086-5",0,0,0,0,33.95,33.95
"509087-3",0,0,0,0,0,0
"509088-1",0,0,0,0,0,0
"509089-0",0,0,0,0,0,0
"509090-3",0,0,0,0,0,0
"509091-1",0,112.23,0,0,115.94,228.17
"509092-0",0,0,386.01,0,127.81,513.82
"509093-8",0,0,0,0,0,0
"509094-6",0,0,0,0,47.39,47.39
"509095-4",0,0,0,0,0,0
"509096-2",0,1700.76,0,0,0,1700.76
"509097-0",0,0,0,0,13.39,13.39
"509098-9",0,0,1276.54,0,37.25,1313.79
"509099-7",757.17,0,0,0,0,757.17
"509100-4",0,0,0,0,0,0
"509101-2",7112.45,0,0,0,0,7112.45
"509102-0",0,0,5419.65,0,0,5419.65
"509103-9",0,215.28,0,0,16.22,231.5
"509104-7",0,529.45,0,979.95,17.8,1527.2
"509105-5",0,115.8,2893.97,0,4.14,3013.91
"509106-3",0,264.56,1270.64,0,5.75,1540.95
"509115-2",0,0,0,0,0,0
"509116-0",0,0,0,0,285.58,285.58
"509117-9",0,0,0,0,313.67,313.67
"509118-7",0,0,0,0,0,0
"509119-5",0,0,0,0,0,0
"509120-9",0,0,5551.03,0,0,5551.03
"509121-7",0,1023.19,0,1258.78,239.31,2521.28
"509122-5",0,55.91,0,3535.44,19.69,3611.04
"509123-3",0,1942.71,0,0,0,1942.71
"509124-1",0,0,0,0,60.67,60.67
"509125-0",0,0,0,0,203.88,203.88
"509126-8",0,0,0,0,1033.66,1033.66
"509127-6",0,0,0,0,37.21,37.21
"509128-4",1286.88,341.76,588.34,211.28,171.62,2599.88
"509129-2",176.93,663.43,2257.03,0,387.82,3485.21
"509130-6",0,2124.08,0,0,405.76,2529.84
"509131-4",3811.41,0,0,0,0,3811.41
"509132-2",0,973.63,0,0,104.55,1078.18
"509194-2",0,0,0,0,0,0
"509196-9",0,0,0,0,0,0
"509197-7",0,0,0,0,129.93,129.93
"509198-5",0,0,0,0,126.4,126.4
"509199-3",0,0,0,0,706.42,706.42
"509200-0",0,99.54,0,0,47.74,147.28
"509201-9",678.24,1089.96,3361.56,0,289,5418.76
"509202-7",0,51.37,1516.27,0,17.26,1584.9
"509203-5",1473.01,83.87,0,0,29.66,1586.54
"509204-3",659.9,128.4,0,0,101.7,890
"509205-1",0,28.65,0,0,0,28.65
"509206-0",0,0,0,0,8.66,8.66
"509207-8",553.93,226.64,455.09,1474.92,147.46,2858.04
"509208-6",0,0,0,0,516.05,516.05
"509209-4",0,174.12,616.07,0,268.06,1058.25
"509210-8",909.86,231.38,628.8,0,55.79,1825.83
"509212-4",0,0.07,0,0,0,0.07
"509213-2",4308.06,0,0,0,21.06,4329.12
"509214-0",0,0,0,0,0,0
"509215-9",0,161.77,2598.33,0,145.6,2905.7
"509216-7",0,0,0,0,0,0
"509217-5",1487.25,221.73,235.06,569.32,266.89,2780.25
"509218-3",3945.71,157.72,0,0,201.47,4304.9
"509219-1",0,136.24,0,1999.48,104.42,2240.14
"509220-5",0,0,6020.2,0,17.72,6037.92
"509221-3",0,0,0,0,15.36,15.36
"509222-1",772.17,1574,1414.17,135.88,880.79,4777.01
"509223-0",0,411.16,3292.82,0,334.76,4038.74
"509224-8",1536.76,251.91,218.72,248.88,287.23,2543.5
"509225-6",9068.25,0,0,0,15.39,9083.64
"509226-4",0,109.79,1516.7,0,137.12,1763.61
"509227-2",4721.82,62.1,0,0,28.71,4812.63
"509228-0",0,305.17,0,0,99.69,404.86
"509229-9",181.29,757.75,891.9,92.31,354.35,2277.6
"509230-2",0,477.72,395.67,591.33,113.94,1578.66
"509231-0",1382.48,172.21,240.56,0,118.33,1913.58
"509232-9",0,327.11,891.42,0,124.27,1342.8
"509233-7",0,0,0,0,42.82,42.82
"509234-5",0,49.31,0,0,51.07,100.38
"509235-3",0,444.53,0,0,0,444.53
"509236-1",0,539.07,0,0,152.8,691.87
"509237-0",1111.03,544.14,0,0,326.39,1981.56
"509238-8",1626.09,467,0,0,119.08,2212.17
"509239-6",0,0,0,0,54.49,54.49
"509240-0",2407.61,2763.9,5510.22,280.51,718,11680.24
"509241-8",186.71,1428.61,2606.88,430.24,486.81,5139.25
"509242-6",0,1358.89,4011.97,0,231.4,5602.26
"509243-4",0,1727.97,798.2,678.89,157.44,3362.5
"509244-2",0,511.34,0,442.01,1943.07,2896.42
"509245-0",1200.47,1258.51,1074.66,0,111.65,3645.29
"509246-9",392.27,1384.58,4257.23,230.51,377.89,6642.48
"509247-7",1810.68,1627.84,3888.06,400.51,352.51,8079.6
"509248-5",0,32.72,0,0,214.57,247.29
"509249-3",2617.42,1427.22,3636.05,0,474.04,8154.73
"509250-7",0,1483.94,1716.15,0,110.73,3310.82
"509251-5",0,2410.36,0,2507.47,15.99,4933.82
"509252-3",4823.14,2983.37,1567.47,1920.96,2444.94,13739.88
"509253-1",2094.19,999.21,0,1087.99,1304.7,5486.09
"509254-0",33077.76,0,33021.46,0,151.72,66250.94
"509255-8",7035.8,0,0,0,6958.56,13994.36
"509256-6",0,0,0,0,0,0
"509257-4",1117.53,2146.32,454.92,410.86,160.95,4290.58
"509258-2",211.09,669.22,2032.04,0,265.08,3177.43
"509259-0",0,1933.42,0,0,0,1933.42
"509260-4",5940.77,0,0,0,0,5940.77
"509261-2",1319.94,2698.24,2968.55,316,246.15,7548.88
"509262-0",3946.08,456.1,1560.02,0,331.42,6293.62
"509263-9",72416.05,2468.05,0,28871.67,1320.49,105076.26
"509264-7",1493.5,658.32,0,0,1588.64,3740.46
"509265-5",0,0,0,0,0,0
"509266-3",3482.75,263.53,1765.24,2843.17,1739.9,10094.59
"509267-1",1003.14,2996.19,3122.52,0,1126.08,8247.93
"509268-0",48757.73,2784.69,0,12681.43,146.18,64370.03
"509269-8",6285.46,1745.67,3374.41,0,1433.49,12839.03
"509270-1",985.19,2552.84,5733.75,0,1448.7,10720.48
"509271-0",1076.77,3283.08,1416.96,0,244.21,6021.02
"509272-8",0,1272.47,0,0,40.83,1313.3
"509273-6",0,732.84,0,0,15.22,748.06
"509274-4",2187.05,6053.39,5969.06,1072.25,849.9,16131.65
"509275-2",6958.62,4287.27,4844.61,324.63,777.14,17192.27
"509276-0",5338.56,1636.01,0,0,57.87,7032.44
"509277-9",3552.66,1823.67,9007.04,0,593.65,14977.02
"509278-7",974.54,1522.58,1155.76,108.94,590.39,4352.21
"509279-5",1157.5,2785.9,2099.29,117.24,979.74,7139.67
"509280-9",902.71,1137.31,1531.89,351.72,127.3,4050.93
"509281-7",37.37,1680.06,774.95,319.46,346.73,3158.57
"509282-5",0,1652.87,694.87,0,527.83,2875.57
"509283-3",0,0,0,0,0,0
"509284-1",2616.3,2997.36,4153.39,102.66,546.69,10416.4
"509285-0",1844.35,3647.76,2541.31,355.41,360.77,8749.6
"509286-8",322.81,2478.09,7144.48,0,160.58,10105.96
"509287-6",3788.8,3234.1,5442.75,296.21,693.87,13455.73
"509288-4",733.31,1058.48,1191.99,0,155.48,3139.26
"509289-2",671.75,1265.9,0,0,77.75,2015.4
"509290-6",1503.77,377.41,4547.67,0,497.33,6926.18
"509291-4",0,1165.36,5106.3,31.39,326.29,6629.34
"509292-2",0,1524.32,3291.79,0,82.66,4898.77
"509293-0",4817.51,4047.76,1233.55,0,114.59,10213.41
"509294-9",3367.68,1922.18,1698.79,0,213.65,7202.3
"509295-7",0,54.92,0,0,105.15,160.07
"509296-5",0,0,0,0,56.94,56.94
"509297-3",0,754.19,600.6,0,392.86,1747.65
"509298-1",0,0,0,0,0,0
"509299-0",0,0,0,0,0,0
"509302-3",3787.69,110.6,0,3784.39,5.88,7688.56
"509303-1",357.97,955.8,1313.43,0,313.55,2940.75
"509304-0",0,23.55,5643.86,0,227.53,5894.94
"509305-8",0,133.26,0,0,0,133.26
"509306-6",0,2681.38,0,0,807.59,3488.97
"509307-4",0,3588.06,1034.07,0,79.32,4701.45
"509308-2",0,267.34,0,0,58.28,325.62
"509309-0",2535.74,4249.59,6280.62,385.12,620.69,14071.76
"509310-4",0,251.09,0,0,235.41,486.5
"509311-2",0,1277.43,414.49,0,136.96,1828.88
"509312-0",0,0,0,0,0,0
"509313-9",6075.68,1388.35,0,0,98.89,7562.92
"509314-7",1680.44,1246.14,0,1680.44,116.72,4723.74
"509315-5",0,0,0,0,0,0
"509316-3",0,988.38,0,0,241.19,1229.57
"509317-1",1470.81,5120.08,3078.9,0,61.59,9731.38
"509318-0",40.13,1349.46,0,0,88.35,1477.94
"509319-8",5116.94,2374.23,1868.83,0,306.82,9666.82
"509686-6",0,0,0,0,0,0
"509803-3",0,0,0,0,0,0
"509972-2",0,0,0,0,0,0
"510001-1",3112.52,1451.5,0,0,189.44,4753.46
"510002-0",0,0,0,0,73.5,73.5
"510003-8",0,0,0,0,0,0
"510004-6",0,0,0,0,0,0
"510005-4",0,0,0,0,0,0
"510006-2",0,0,0,0,0,0
"510007-0",0,52.62,7104.13,2766.46,276.89,10200.1
"510008-9",0,0,0,0,0,0
"510009-7",0,48.98,2880.47,0,164.68,3094.13
"510010-0",0,0,0,0,0,0
"510011-9",0,0,0,0,0,0
"510012-7",0,136.66,0,0,72.51,209.17
"510013-5",0,0,0,0,27.07,27.07
"510014-3",0,90.39,0,0,413.04,503.43
"510015-1",0,680.15,0,0,37.67,717.82
"510016-0",0,0,0,0,0,0
"510017-8",0,47.02,8138.11,0,99.44,8284.57
"510130-0",0,0,0,0,0,0
"5101901-",0,0,0,0,0,0
"510201-1",0,0,0,84058.67,0,84058.67
"510259-9",0,0,0,0,0,0
"510426-2",0,0,0,0,0,0
"510446-9",0,0,0,0,0,0
"510481-7",0,0,0,0,0,0
"510482-0",0,0,0,0,0,0
"510531-4",0,0,0,0,0,0
"510533-6",0,0,0,0,0,0
"510539-2",0,0,0,0,0,0
"510548-2",0,0,0,0,0,0
"510600-5",0,0,0,0,0,0
"5109101-",0,0,0,0,0,0
"510923-6",0,0,0,0,0,0
"5109502-",0,0.33,0,0,0,0.33
"5109602-",0,0,0,0,0,0
"511001-7",0,0,0,0,0,0
"511002-5",0,0,0,0,0,0
"511003-3",0,0,0,0,0,0
"511006-8",0,0,0,0,732.99,732.99
"511007-6",0,0,0,0,227.03,227.03
"511081-0",0,0,0,0,0,0
"511092-1",0,0,0,0,0,0
"511095-2",0,0,0,0,0,0
"511095-3",0,0,0,0,0,0
"511099-4",0,409.56,768.13,0,0,1177.69
"5111401-",0,0,0,0,0,0
"5111403-",0,0,0,0,0,0
"5111501-",0,0,0,0,0,0
"5111502-",0,0,0,0,0,0
"511283-6",0,0,0,0,0,0
"5113602-",0,0,0,0,0,0
"5113901-",0,0,0,0,0,0
"5114001-",0,0,0,0,0,0
"5114003-",0,0,0,0,0,0
"5114101-",0,0,0,0,0,0
"5114103-",0,0,0,0,0,0
"511492-4",0,0,0,0,0,0
"511518-4",0,446.67,0,0,0,446.67
"511518-6",0,0,0,0,0,0
"511518-8",0,369.79,455.59,0,0,825.38
"511519-0",0,0,0,0,0,0
"511519-2",0,460.49,2463.79,0,0,2924.28
"511519-8",0,0,0,0,0,0
"511611-4",0,0,0,0,0,0
"511611-8",0,34.44,0,0,0,34.44
"511612-0",0,0,0,0,0,0
"511612-2",0,0,0,0,0,0
"511612-4",0,362.7,0,0,0,362.7
"511613-7",0,0,0,0,0,0
"511613-9",0,0,0,0,0,0
"511614-5",0,0,0,0,0,0
"511614-7",0,0,0,0,0,0
"511619-4",0,0,0,0,0,0
"511670-5",0,867.49,3631.79,0,0,4499.28
"511723-2",0,0,0,0,0,0
"511727-7",0,1094.36,0,0,0,1094.36
"511729-8",0,0,0,0,0,0
"511729-9",0,0,0,0,0,0
"512000-1",0,0,0,0,0,0
"512000-8",0,0,0,0,0,0
"512001-2",0,0,0,0,0,0
"512001-4",0,0,0,0,0,0
"512001-8",55885.56,0,0,0,0,55885.56
"512001-9",0,0,0,0,0,0
"512002-0",0,0,0,0,0,0
"512003-9",0,0,2180.29,0,0,2180.29
"512004-7",0,0,0,0,0,0
"512005-1",0,0,0,0,0,0
"512005-5",0,0,0,0,366.95,366.95
"512007-7",0,0,0,0,0,0
"512007-9",0,610.93,0,0,0,610.93
"512009-8",0,0,0,0,0,0
"512010-1",0,0,0,0,0,0
"512011-0",0,0,0,0,0,0
"512012-8",0,0,0,0,0,0
"512013-6",0,0,0,0,100.77,100.77
"512014-4",0,0,0,0,102.16,102.16
"512015-2",0,623.9,0,0,168.55,792.45
"512016-0",0,0,0,0,339.32,339.32
"512017-9",0,532.06,950.05,0,34.07,1516.18
"512018-7",0,0,0,0,0,0
"512019-5",0,0,0,0,0,0
"512020-9",0,0,0,0,0,0
"512021-7",0,0,12.43,0,48.7,61.13
"512022-5",0,0,0,0,121.73,121.73
"512023-3",0,3732.35,0,0,0,3732.35
"512024-1",0,0,0,0,0,0
"512025-0",0,37.7,0,0,34.56,72.26
"512026-8",0,0,0,2144.18,16.39,2160.57
"512027-6",0,0,0,0,0,0
"512028-4",0,0,0,0,0,0
"512202-6",0,0,0,0,0,0
"512238-3",0,0,0,0,0,0
"512302-2",0,0,0,0,0,0
"512302-4",0,0,0,0,0,0
"512470-6",0,0,0,0,0,0
"513001-8",0,0,0,0,737.34,737.34
"513002-6",0,0,0,0,1489.86,1489.86
"513033-6",0,0,0,0,0,0
"513034-4",0,0,0,0,0,0
"513035-2",0,0,11976.46,0,0,11976.46
"513036-0",1205.98,2030.55,763.08,0,163.24,4162.85
"513037-9",0,0,0,0,307.15,307.15
"513038-7",0,365.15,5353.95,0,278.33,5997.43
"513039-5",0,1285.62,0,0,73.27,1358.89
"513040-9",0,0,0,0,0,0
"513041-7",0,185.53,1590.38,0,8.11,1784.02
"513042-5",0,0,0,0,190.51,190.51
"513043-3",0,67.53,7438.1,0,0,7505.63
"513044-1",0,0,0,0,0,0
"513045-0",0,10.85,514.68,0,57.01,582.54
"513046-8",385.72,251.55,962.36,0,98.04,1697.67
"513047-6",0,0,0,15472.05,222.74,15694.79
"513048-4",0,0,0,0,22.99,22.99
"513049-2",0,1396.47,0,0,0,1396.47
"513050-6",0,0,0,0,0,0
"513051-4",0,182.21,0,0,0,182.21
"513052-2",0,640.52,3068.69,0,189.34,3898.55
"513053-0",0,337.09,108.67,0,106.37,552.13
"513054-9",563.98,2582.81,2756.71,0,182.46,6085.96
"513055-7",5018.12,607.96,835.22,0,138.62,6599.92
"513056-5",0,2580.48,5395.81,0,67.28,8043.57
"513057-3",0,105.61,0,0,0,105.61
"513058-1",0,178.49,0,0,584.68,763.17
"513059-0",2823.72,76.9,2823.72,0,74.09,5798.43
"513060-3",0,82.37,0,0,2096.08,2178.45
"513061-1",0,73.61,4250.75,0,210.32,4534.68
"513062-0",0,0,0,0,0,0
"513063-8",0,0,29755.33,0,0,29755.33
"513064-6",0,0,0,0,0,0
"513065-4",0,0,0,0,0,0
"513066-2",0,0,0,1591.76,60.7,1652.46
"513067-0",0,802.71,497.35,0,99.47,1399.53
"513068-9",0,0,0,0,109.29,109.29
"513069-7",0,635.86,2397.99,635.72,376.32,4045.89
"513070-0",1065.95,326.75,0,0,68.67,1461.37
"513071-9",0,0,0,0,0,0
"513072-7",0,66.63,0,0,0,66.63
"513073-5",2433.82,73.42,0,0,210.26,2717.5
"513074-3",0,0,0,0,0,0
"513075-1",0,0,0,0,0,0
"513076-0",386.87,750.36,822.7,0,643.85,2603.78
"513077-8",0,0,0,0,0,0
"513078-6",0,749.41,1145.68,1148.11,92.56,3135.76
"513079-4",0,50.12,0,0,0,50.12
"513080-8",0,152.9,0,0,320.89,473.79
"513081-6",0,0,0,0,148.3,148.3
"513083-2",0,0,0,0,43.92,43.92
"513084-0",0,0,0,0,0,0
"513085-9",0,0,0,0,0,0
"513086-7",0,0,0,0,0,0
"513087-5",340.5,1173.34,1825.59,588.38,181.34,4109.15
"513088-3",0,0,0,0,124.68,124.68
"513089-1",0,118.21,6860.91,0,127.87,7106.99
"513090-5",0,4522.46,0,0,15.95,4538.41
"513091-3",0,1688.63,0,0,138.84,1827.47
"513092-1",0,57.64,2689.84,0,140.83,2888.31
"513093-0",0,216.55,0,0,185.05,401.6
"513094-8",0,0,0,0,54.65,54.65
"513095-6",17291.22,0,0,0,72.05,17363.27
"513096-4",0,0,0,0,16915.62,16915.62
"513097-2",0,0,0,0,0,0
"513098-0",0,0,0,0,142.73,142.73
"513099-9",10854.67,3240.77,4302.03,0,1204.38,19601.85
"513101-4",0,1083.28,0,3452.26,4605.4,9140.94
"513102-2",0,13120.94,0,0,0,13120.94
"513103-0",0,1956.42,10364.85,0,18.98,12340.25
"513104-9",359.82,8.79,0,0,93.31,461.92
"513105-7",0,76.45,0,0,182.43,258.88
"513106-5",0,0,0,0,580.09,580.09
"513107-3",0,2124.1,0,0,48.77,2172.87
"513108-1",0,0,0,0,0,0
"513109-0",0,1566.67,0,0,0,1566.67
"513110-3",46450.05,0,0,22240.71,0,68690.76
"513111-1",0,484.5,0,0,68.88,553.38
"513112-0",0,0,0,0,0,0
"513113-8",0,479.5,0,0,19.74,499.24
"513114-6",0,0,0,0,0,0
"513115-4",0,2331.76,0,0,0,2331.76
"513116-2",0,0,0,0,0,0
"513117-0",0,0,0,0,0,0
"513118-9",0,0,0,0,76.59,76.59
"513119-7",0,176.22,3699.44,0,159.08,4034.74
"513120-0",0,0,0,0,0,0
"513121-9",0,0,0,0,0,0
"513122-7",0,168.52,0,0,0,168.52
"513123-5",0,0,0,0,0,0
"513124-3",0,0,0,0,0,0
"513125-1",0,0,0,0,0,0
"513126-0",0,0,0,0,0,0
"513131-6",459.98,866.59,2659.11,522.84,184.15,4692.67
"513132-4",0,1345.1,1292.31,0,127.17,2764.58
"513133-2",0,90.28,8954,0,143.44,9187.72
"513134-0",18424.15,1136.29,0,0,53.54,19613.98
"513135-9",0,1535.14,1461.97,0,412.34,3409.45
"513136-7",0,328.65,0,0,0,328.65
"513137-5",0,0,0,0,123.04,123.04
"513138-3",0,1913.08,4130.55,0,1452.97,7496.6
"513139-1",0,0,0,0,138.93,138.93
"513140-5",7928.62,0,0,0,26.23,7954.85
"513142-1",0,111.79,984.32,0,0,1096.11
"513143-0",0,0,0,0,0,0
"513144-8",24501.16,0,0,0,0,24501.16
"513145-6",0,517.75,0,0,0,517.75
"513146-4",0,0,0,0,470.22,470.22
"513147-2",0,60.47,0,0,0,60.47
"513148-0",0,0,0,0,0,0
"513149-9",0,470.22,0,0,0,470.22
"513150-2",0,662.3,0,0,0,662.3
"513152-9",0,0,0,0,0,0
"513153-7",0,187.24,0,0,0,187.24
"513155-3",0,0,0,0,186.76,186.76
"513156-1",0,0,0,0,0,0
"513157-0",0,1228.55,0,0,14.8,1243.35
"513158-8",667.5,1676.18,4663.72,749.05,1608.95,9365.4
"513159-6",1248.28,2880.03,5490.49,0,614.47,10233.27
"513160-0",971.98,3319.81,4407.03,1124.95,696.73,10520.5
"513161-8",1898.19,4322.62,3753.03,416.64,489.75,10880.23
"513162-6",2814.98,4490.2,5454.87,0,645.29,13405.34
"513163-4",2943.42,5918.79,3714.29,1175.28,993.09,14744.87
"513164-2",0,204.98,0,0,0,204.98
"513165-0",0,0,0,0,346.28,346.28
"513166-9",9833.83,45.46,0,0,678.77,10558.06
"513167-7",0,0,0,0,0,0
"513168-5",0,78.25,0,0,0,78.25
"513169-3",19588.48,2698.86,3971.91,3924.72,3345.86,33529.83
"513170-7",2197.29,1126.33,2021.94,1514.55,255.98,7116.09
"513171-5",7103.08,1719.44,0,2671.4,151.09,11645.01
"513172-3",0,248.46,8324.33,0,58.64,8631.43
"513173-1",0,183.26,0,0,21.65,204.91
"513174-0",0,41.19,0,0,73.98,115.17
"513175-8",0,3610.5,0,0,5667.95,9278.45
"513176-6",0,0,0,0,0,0
"513177-4",0,1671.3,0,0,114.62,1785.92
"513178-2",0,0,0,0,149.62,149.62
"513180-4",13443.83,23.42,0,0,33.79,13501.04
"513181-2",25874.98,264.4,0,0,1178.66,27318.04
"513182-0",0,0,0,0,0,0
"513183-9",5110.16,56.01,0,0,251.13,5417.3
"513184-7",0,0.1,0,0,43.51,43.61
"513185-5",0,0,0,0,0,0
"513186-3",0,3630.93,3019.68,0,223.78,6874.39
"513187-1",10284.51,404.22,0,3442.73,122.17,14253.63
"513188-0",27783.32,0,0,0,174.99,27958.31
"513189-8",2364.68,2490.01,2162.97,0,409.12,7426.78
"513190-1",0,134.61,1315.75,3184.15,951.12,5585.63
"513191-0",0,2861.97,5171.15,0,180.05,8213.17
"513192-8",1850.88,2844.58,3524.04,0,1200.84,9420.34
"513193-6",1996.69,2651.29,3360.91,0,1749.47,9758.36
"513194-4",0,1798.36,4182.79,0,121.58,6102.73
"513195-2",0,29.56,0,0,0,29.56
"513196-0",0,0,0,0,125.66,125.66
"513197-9",0,0,0,0,0,0
"513198-7",0,2997.84,0,0,178.76,3176.6
"513199-5",0,35.85,0,0,1461.06,1496.91
"513200-2",0,0,0,0,0,0
"513201-0",0,0,0,0,155.96,155.96
"513202-9",0,22.93,8415.48,0,41.11,8479.52
"513203-7",0,176.96,0,0,0,176.96
"513204-5",0,334.2,0,0,21.14,355.34
"513205-3",0,0,0,0,0,0
"513206-1",0,0,0,0,8259.73,8259.73
"513207-0",0,93.09,0,0,278.42,371.51
"513208-8",0,0,0,0,0,0
"513209-6",0,107.27,0,0,2884.34,2991.61
"513210-0",0,108.15,0,0,0,108.15
"513211-8",0,0,0,0,0,0
"513212-6",0,0,0,0,0,0
"513213-4",4193.19,3713.3,0,0,769.66,8676.15
"513214-2",0,648.43,0,5969.65,55.23,6673.31
"513215-0",5478.16,3969.07,6070.7,429.72,712.14,16659.79
"513216-9",8911.27,5127,4846.91,737.31,661.28,20283.77
"513217-7",0,3179.29,2979,0,352.37,6510.66
"513218-5",11037.6,1827.76,3167.35,1443.74,279.35,17755.8
"513219-3",1782.18,6793.26,6419.97,0,537.26,15532.67
"513220-7",16435.8,7108.94,7913.17,1864.22,845.24,34167.37
"513221-5",13494.13,8076.84,7758.78,753.35,3044.45,33127.55
"513222-3",8844.12,11963.24,10226.77,0,72.03,31106.16
"513223-1",8510.14,2499.98,1354.99,1004.22,341.75,13711.08
"513224-0",0,0,0,0,0,0
"513225-8",28015.78,0,0,0,108.12,28123.9
"513226-6",10362.91,4560.37,4634.5,0,1565.58,21123.36
"513227-4",6275.59,5435.45,2778.05,0,266.25,14755.34
"513228-2",0,0,0,0,0,0
"513229-0",0,51.31,27714.26,0,122.83,27888.4
"513230-4",0,0,9220.91,0,356.24,9577.15
"513231-2",0,0,0,0,0,0
"513232-0",0,137.63,0,0,197.73,335.36
"513233-9",0,142.59,4514.51,0,54.02,4711.12
"513234-7",2280.36,3111.2,0,0,85.26,5476.82
"513235-5",0,0,0,0,129.74,129.74
"513236-3",0,652.74,4076.66,0,85.04,4814.44
"513237-1",0,0,0,0,0,0
"513238-0",0,0,0,0,0,0
"513239-8",0,0,0,0,40.36,40.36
"513240-1",15743.68,3920.68,1447.76,0,1663.25,22775.37
"513241-0",0,4594.4,0,0,27.73,4622.13
"513242-8",0,1233.38,0,0,98.76,1332.14
"513243-6",1787.93,1090.96,3450.33,0,216.5,6545.72
"513244-4",0,1481.03,2255.65,0,215.57,3952.25
"513245-2",3662.32,8110.81,7767,314.86,1129.68,20984.67
"513246-0",16465.08,6495.73,6316.95,927.31,2268.91,32473.98
"513247-9",17720.6,5542.17,11785.93,0,13.44,35062.14
"513248-7",3282.87,4058.98,4134.46,307.9,2534.42,14318.63
"513249-5",10121.65,1292.5,0,0,307.79,11721.94
"513250-9",3174.61,2533.82,2241.62,0,72.14,8022.19
"513251-7",2167.85,6268.63,1807.5,0,97.74,10341.72
"513252-5",1711.27,2188.9,3084.65,0,137.23,7122.05
"513253-3",10573.83,4178.31,6640.86,0,629.87,22022.87
"513254-1",0,10245.35,0,0,0,10245.35
"513255-0",3852.98,98.97,0,0,3467.01,7418.96
"513256-8",0,0,0,0,0,0
"513257-6",0,219.31,0,0,0,219.31
"513258-4",0,41.25,0,0,0,41.25
"513259-2",8058.6,4742.87,0,0,12.46,12813.93
"513260-6",0,0,0,0,0,0
"513261-4",8534.69,486.59,5.89,0,287.02,9314.19
"513262-2",0,74513.76,0,0,0,74513.76
"513263-0",31319.64,241.38,0,0,10.84,31571.86
"513264-9",0,2309.37,0,0,3967.12,6276.49
"513265-7",0,125.1,0,0,0,125.1
"513266-5",0,0,0,0,0,0
"513267-3",0,0,0,0,0,0
"513268-1",0,0,0,0,0,0
"513269-0",0,17896.6,0,0,0,17896.6
"513270-3",14259.83,2915.31,0,0,15.98,17191.12
"513272-0",9451.39,7792.79,0,0,116.54,17360.72
"513273-8",0,5787.04,0,0,0,5787.04
"513274-6",8184.67,7312.17,0,0,27.04,15523.88
"513275-4",23048.37,2609.93,0,0,0,25658.3
"513276-2",0,0,0,0,0,0
"513277-0",0,0,0,0,0,0
"513278-9",0,44.43,0,0,0,44.43
"513282-7",0,0,0,0,0,0
"513283-5",0,0,0,0,0,0
"513284-3",0,0,0,0,0,0
"513285-1",0,0,0,0,0,0
"513286-0",0,244.36,0,0,0,244.36
"513287-8",0,0,0,0,0,0
"513288-6",0,11554.71,0,0,9559.22,21113.93
"513289-4",0,0,0,0,0,0
"513290-8",0,0,0,0,0,0
"513291-6",0,0,0,0,0,0
"513293-2",0,0,0,0,0,0
"513294-0",0,0,0,0,0,0
"513295-9",0,0,0,0,0,0
"513298-3",0,0,0,0,0,0
"513300-9",0,4137.85,0,0,0,4137.85
"513301-7",0,0,0,0,0,0
"513303-3",0,0,0,0,0,0
"513304-1",0,0,0,0,0,0
"513306-8",0,0,0,0,0,0
"513307-6",0,0,0,0,0,0
"513309-2",0,0,0,0,0,0
"513311-4",0,0,0,0,0,0
"513312-2",0,0,0,0,0,0
"515001-9",0,0,0,0,81.83,81.83
"515002-7",0,0,0,0,0,0
"515003-5",0,0,0,0,45.69,45.69
"515004-3",0,0,0,0,51.49,51.49
"515005-1",0,0,0,0,334.67,334.67
"515006-0",0,0,0,0,0,0
"515007-8",0,0,0,0,78.53,78.53
"515008-6",346.14,110.54,0,0,164.81,621.49
"515009-4",0,0,0,0,21.55,21.55
"515010-8",0,0,544.09,0,197.71,741.8
"515011-6",0,725.4,0,0,145.53,870.93
"515012-4",0,0,0,0,0,0
"515013-2",0,0,0,0,0,0
"515014-0",0,0,0,0,20.65,20.65
"515015-9",0,0,1125.03,0,137.23,1262.26
"515016-7",0,0,0,0,2.38,2.38
"515017-5",0,0,0,0,27.64,27.64
"515018-3",461.88,0,0,0,83.66,545.54
"515019-1",0,0,0,0,28.15,28.15
"515020-5",874.16,0,872.45,0,360.98,2107.59
"515021-3",0,0,0,0,207.57,207.57
"515022-1",0,0,0,0,243.35,243.35
"515023-0",0,0,0,0,258.98,258.98
"515024-8",0,0,0,0,0,0
